"p","r_quantile"
0.016,0.90239334287231
0.0170000000000001,0.906354793997851
0.018,0.911751108103474
0.0190000000000001,0.898648444412834
0.02,0.902480218856045
0.0210000000000001,0.910957895354868
0.022,0.911195837667478
0.0230000000000001,0.899712953835475
0.024,0.9128255065277
0.0249999999999999,0.906162966995873
0.026,0.905930916526327
0.0269999999999999,0.904555115500883
0.028,0.907161040753144
0.0289999999999999,0.906738952141465
0.03,0.907342180470365
0.0309999999999999,0.897521436441745
0.032,0.911848007953546
0.0329999999999999,0.907388764717442
0.034,0.908850045859549
0.0349999999999999,0.913216906220866
0.036,0.910524528200976
0.0369999999999999,0.912856299062813
0.038,0.906395359478264
